
y_ceng	6	-0.1483451935619194,0.475653118183134,0.5437644321944857,-0.2301598753097478,0.4661713199430116,-0.2554289950108837
y_dmptlur	1	25
y_dmptpi	1	-25
y_dpadj	1	1.0000
y_ecd	4	0.1553557918476032,-0.05860156240430123,1,9.039065475739223
y_ech	4	0.002890569762594884,-0.02415873224871467,0.5006794105950545,0.001736793669371161
y_eco	4	0.1088704831212408,0.4609714707829828,1,0.252176379778204
y_egfi	7	-0.001620944144695763,-0.1243761665741676,-0.1946254304372423,-0.1028111402377485,1.560428852418556,0.002544852561541834,-0.002297865365889053
y_egfit	3	-.4027,-.1,1.0
y_egfl	7	-6.057249900438316e-05,-0.06931736294593471,0.3048866347485139,-0.04971735124104322,1.062115221072238,-0.002639817782074764,0.002667547414047634
y_egflt	3	-.375978,-.1,1.0
y_egfo	7	-0.00272437480660757,-0.165188738562342,-0.2655033775214354,-0.1381332991300448,1.894051710648925,-0.00465994369973658,0.004251675291831084
y_egfot	3	-.342813,-.1,1.0
y_egsi	7	-1.405740361028989e-05,-0.2020609033108234,0.05134522874864941,-0.0802709528945283,1.120067667801115,0.004461484133438011,-0.003094150933137312
y_egsit	3	-.379944,-.1,1.0
y_egsl	7	0.000432632357275569,-0.1411968485071547,0.173955823870621,0.03758904468718688,0.6916403113884035,-0.001559901737432915,0.001832485913741557
y_egslt	3	-.259779,-.1,1.0
y_egso	7	-0.0002007505801469657,-0.09372198933526569,0.5475507872556951,0.1640544466868082,0.2738406118398889,-0.00239077240189727,0.002397454574046775
y_egsot	3	-.382643,-.1,1.0
y_eh	6	0.01184830003855771,0.3575993755366778,0.2161402157869259,1,-0.05135790678323379,0.02487247623721819
y_emo	6	0.01701497186817749,-0.1984753225812535,1.352328263830308,1.673976681206801,0.3566283231277721,0.3803113605562196
y_empt	2	0.10000000000000000E+00,1.00000000000000000E+00
y_epd	4	0.1639648722427122,0.4446158979500308,0.3699597791648127,0.5
y_epi	4	0.01211724517486588,0.6819035622357826,0.1766782129232528,0.212294527301806
y_eps	5	0.06660965676110558,0.5425646472109228,0.3261733908091358,0.5,-0.09697975834849955
y_ex	5	0.8118629319610274,-0.1074807087618527,1.38575824141273,1.092856118288064,1.014561010220407
y_fgdpt	3	-.458264,-.1,1.0
y_fpi10	5	0.7045829169372979,0.2954170830627021,0.2531839520282475,5.324212789847609,0.9163384620133771
y_fpi10t	2	9.500000000000000000e-01,5.000000000000000000e-02
